Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
523,2.232,23.0,60600,NaN,NaN,NaN,,,,,,,,,,,,
525,2.166,22.7,60800,NaN,NaN,NaN,,,,,,,,,,,,
527,2.330,23.5,61000,NaN,NaN,NaN,,,,,,,,,,,,
529,2.304,23.4,61300,NaN,NaN,NaN,,,,,,,,,,,,
531,2.093,22.3,61500,NaN,NaN,NaN,,,,,,,,,,,,
533,2.138,22.5,61700,NaN,NaN,NaN,,,,,,,,,,,,
535,2.293,23.3,61900,NaN,NaN,NaN,,,,,,,,,,,,
537,1.981,21.7,62200,NaN,NaN,NaN,,,,,,,,,,,,
539,2.182,22.7,62400,NaN,NaN,NaN,,,,,,,,,,,,
541,2.213,22.9,62600,NaN,NaN,NaN,,,,,,,,,,,,
543,2.063,22.1,62900,NaN,NaN,NaN,,,,,,,,,,,,
545,2.090,22.3,63100,NaN,NaN,NaN,,,,,,,,,,,,
547,2.204,22.9,63300,NaN,NaN,NaN,,,,,,,,,,,,
549,2.228,23.0,63600,NaN,NaN,NaN,,,,,,,,,,,,
551,2.278,23.2,63800,NaN,NaN,NaN,,,,,,,,,,,,
553,2.074,22.2,64000,NaN,NaN,NaN,,,,,,,,,,,,
555,2.247,23.1,64300,NaN,NaN,NaN,,,,,,,,,,,,
557,2.142,22.5,64500,NaN,NaN,NaN,,,,,,,,,,,,
559,2.229,23.0,64700,NaN,NaN,NaN,,,,,,,,,,,,
561,-999.000,-999.0,65000,NaN,NaN,NaN,,,,,,,,,,,,
563,1.965,21.6,65200,NaN,NaN,NaN,,,,,,,,,,,,
565,2.166,22.7,65400,NaN,NaN,NaN,,,,,,,,,,,,
567,1.983,21.7,65600,NaN,NaN,NaN,,,,,,,,,,,,
569,2.112,22.4,65900,NaN,NaN,NaN,,,,,,,,,,,,
