Proxy depth,d18O,Temperature,Published age,Age model error
(m),(VSMOW),(°„C),(yr BP),"(yr, 1¶“)"
1465.52,-37.39,-38.6,11170,47.5
1466.67,-37.60,-39.3,11190,47.5
1467.90,-36.57,-36.1,11210,47.5
1469.13,-36.16,-34.9,11230,48
1470.36,-36.58,-36.2,11250,48
1471.51,-37.54,-39.1,11270,48
1472.66,-36.67,-36.4,11290,48
1473.88,-36.91,-37.2,11310,48
1475.02,-37.45,-38.8,11330,48
1476.16,-37.63,-39.4,11350,48
1477.23,-37.11,-37.8,11370,48.5
1478.16,-38.46,-41.9,11390,48.5
1479.15,-38.26,-41.3,11410,48.5
1480.13,-38.72,-42.7,11430,48.5
1481.24,-37.41,-38.7,11450,48.5
1482.32,-37.84,-40.0,11470,48.5
1483.41,-36.90,-37.1,11490,48.5
1484.59,-36.60,-36.2,11510,49
1485.69,-36.87,-37.1,11530,49
1486.95,-36.78,-36.8,11550,49
1488.10,-36.41,-35.7,11570,49
1489.26,-36.57,-36.1,11590,49
1490.44,-36.68,-36.5,11610,49
1491.45,-38.49,-42.0,11630,49
1492.33,-39.04,-43.7,11650,49.5
1492.94,-39.60,-45.4,11670,49.5
1493.62,-39.72,-45.7,11690,50
1494.26,-40.85,-49.2,11710,50
1494.85,-40.55,-48.3,11730,50.5
1495.43,-39.87,-46.2,11750,51
1496.06,-40.45,-48.0,11770,51
1496.68,-40.97,-49.6,11790,51.5
1497.25,-39.17,-44.1,11810,52
1497.81,-38.93,-43.3,11830,52
1498.35,-41.52,-51.2,11850,52.5
1498.93,-39.73,-45.8,11870,53
1499.53,-41.94,-52.5,11890,53
1500.15,-40.34,-47.6,11910,53.5
1500.74,-41.54,-51.3,11930,54
1501.29,-40.54,-48.2,11950,54
1501.85,-39.60,-45.4,11970,54.5
1502.51,-40.17,-47.1,11990,55
1503.09,-39.32,-44.5,12010,55
1503.65,-40.77,-48.9,12030,55.5
1504.25,-40.74,-48.9,12050,56
1504.78,-41.89,-52.4,12070,56
1505.35,-40.61,-48.5,12090,56.5
1505.87,-41.76,-52.0,12110,57
1506.37,-42.09,-53.0,12130,57
1506.94,-38.91,-43.3,12150,57.5
1507.49,-41.40,-50.9,12170,57.5
1508.03,-40.90,-49.3,12190,58
1508.58,-39.90,-46.3,12210,58.5
1509.20,-40.71,-48.8,12230,58.5
1509.74,-41.01,-49.7,12250,59
1510.29,-40.41,-47.9,12270,59.5
1510.78,-40.95,-49.5,12290,59.5
1511.34,-41.73,-51.9,12310,60
1511.83,-41.17,-50.2,12330,60.5
1512.41,-40.73,-48.8,12350,60.5
1512.95,-41.21,-50.3,12370,61
1513.56,-41.05,-49.8,12390,61.5
1514.20,-41.39,-50.8,12410,61.5
1514.75,-40.02,-46.7,12430,62
1515.27,-41.91,-52.4,12450,62.5
1515.84,-40.62,-48.5,12470,62.5
1516.38,-39.09,-43.8,12490,63
1516.89,-40.95,-49.5,12510,63.5
1517.46,-40.54,-48.2,12530,63.5
1517.94,-41.43,-51.0,12550,64
1518.39,-42.71,-54.9,12570,64.5
1518.90,-40.59,-48.4,12590,64.5
1519.50,-41.82,-52.2,12610,65
1520.04,-40.92,-49.4,12630,65.5
