"","Title","First Author","Year","URL","_gddid"
"87","Quaternary glaciations of New Guinea","Brown, Iain M.","1990","http://www.sciencedirect.com/science/article/pii/0277379190900223","550416b1e1382326932d843c"
"88","Mantle and geological evidence for a Late Jurassic−Cretaceous suture spanning North America","Mihalynuk","2017","http://dx.doi.org/10.1130/b31529.1","5a0f4de7cf58f19342a23651"
"89","Crustal setting of mafic and ultramafic rocks and associated ore deposits of the Caribbean region","Case, James E.","1980","https://www.sciencebase.gov/catalog/item/4f4e4ad5e4b07f02db6834be","558d4ba1e13823109f3edd25"
"90","Long-term stability of hydrogen isotope ratios in hydrated volcanic glass","Cassel, Elizabeth J.","2017","http://www.sciencedirect.com/science/article/pii/S0016703716306986","58b76eebcf58f15e8ba1a390"
"91","Subject index","","1987","","57a0b388cf58f18ca6b06279"
"92","Isotopic and chemical signatures of sedimentary smectite and diagenetic clinoptilolite of a lacustrine Neogene basin near Bigadic, western Turkey","Niyazi Gundogdu, M.","1989","http://www.sciencedirect.com/science/article/pii/0883292789900735","5508834fe138237a6f739133"
"93","Site-specific seismic hazard analysis for Calabrian dam site using regionally customized seismic source and ground motion models","Zimmaro, Paolo","2017","http://www.sciencedirect.com/science/article/pii/S0267726117300386","58bd95bdcf58f1a3998e4d9f"
"94","Stability analysis of Hawaiian Island flanks using insight gained from strength testing of the HSDP core","Thompson, Nick","2008","http://www.sciencedirect.com/science/article/pii/S0377027307003678","5545210fe138233dfd7d3517"
"95","Phylogeographical patterns of genetic divergence and speciation in African mole-rats (Family: Bathyergidae)","Faulkes, C. G.","2004","http://doi.wiley.com/10.1046/j.1365-294X.2004.02099.x","570c90fecf58f16579cbcf39"
"96","Thermochronology and tectonics of the Central and Western Cordilleras of Colombia: Early Cretaceous–Tertiary evolution of the Northern Andes","Villagómez, Diego","2013","http://www.sciencedirect.com/science/article/pii/S0024493712004999","54c8354ee13823b607fd3c79"
"97","Catastrophic caldera-forming eruptions: Thermomechanics and implications for eruption triggering and maximum caldera dimensions on Earth","Gregg, P.M.","2012","http://www.sciencedirect.com/science/article/pii/S0377027312001692","5546ef74e138233dfd7d3ca8"
"98","The physical–chemical regime of argillaceous interseam sediments in the Emet borate district, Turkey: A transition from non-metallic volcano-sedimentary to metallic epithermal deposits","Dill, Harald G.","2015","http://www.sciencedirect.com/science/article/pii/S0375674215000783","559764fae1382390cc6407cc"
"99","Thermal regime of continental subduction: The record from exhumed HP–LT terranes (New Caledonia, Oman, Corsica)","Agard, Philippe","2013","http://www.sciencedirect.com/science/article/pii/S0040195113003132","54eeb812e138237cc91527ff"
"100","Fast intraslab fluid-flow events linked to pulses of high pore fluid pressure at the subducted plate interface","Taetz, Stephan","2018","https://www.sciencedirect.com/science/article/pii/S0012821X1730612X","5a309f25cf58f17678ab1ef3"
"101","Age and geochemistry of Karoo dolerite dykes from northeast Botswana","Elburg, M.","2000","http://www.sciencedirect.com/science/article/pii/S0899536200800068","54b4325ae138239d8684cf4d"
"102","Katmai volcanic cluster and the great eruption of 1912","Hildreth, Wes","2000","http://dx.doi.org/10.1130/0016-7606(2000)112<1594:kvcatg>2.0.co;2","5794fea2cf58f11d4e40da2b"
"103","Controls on Holocene denudation rates in mountainous environments under Mediterranean climate","Molliex, S.","2016","http://doi.wiley.com/10.1002/esp.3987","579fca05cf58f14c762a6f5a"
"104","Early Carboniferous sub- to mid-alkaline magmatism in the Eastern Sierras Pampeanas, NW Argentina: A record of crustal growth by the incorporation of mantle-derived material in an extensional setting","Alasino, P.H.","2012","http://www.sciencedirect.com/science/article/pii/S1342937X12000317","54b43254e138239d8684c001"
"105","Quaternary fluvial archives and landscape evolution: a global synthesis","Bridgland, David R.","2014","http://www.sciencedirect.com/science/article/pii/S0016787814000868","54b74a4be138230a74d15899"
"106","On the origin and tectonic significance of the intra-plate events of Grenvillian-type age in South America: A discussion","Cordani, Umberto G.","2010","http://www.sciencedirect.com/science/article/pii/S0895981109000984","54c64630e1382389c54c5022"
"107","Methoden zur Reindarstellung hochschmelzender Carbide, Nitride und Boride und Beschreibung einiger ihrer Eigenschaften","Agte, C.","1931","http://doi.wiley.com/10.1002/zaac.19311980122","56fff968cf58f15ee3ed788d"
"108","Summaries of technical reports, Volume XIII","compiled by Charonnat, B. A.","1982","https://www.sciencebase.gov/catalog/item/4f4e4b05e4b07f02db69974c","55a604d0e13823757cc6f858"
"109","High precision 230 Th and 232 Th in the Norwegian Sea and Denmark by thermal ionization mass spectrometry","Moran, S. B.","1995","http://doi.wiley.com/10.1029/95GL02652","56f68b6dcf58f1578e5485bf"
"110","Early molecular events involved in Pinus pinaster Ait. somatic embryo development under reduced water availability: transcriptomic and proteomic analyses","Morel, Alexandre","2014","http://doi.wiley.com/10.1111/ppl.12158","57de3224cf58f10b245011a7"
"111","Epelrogeny and plate tectonics","Menard, H.W.","1973","http://doi.wiley.com/10.1029/EO054i012p01244","5706741ccf58f15efae1e894"
"112","Adsorption of diuron on mechanically and thermally treated montmorillonite and sepiolite","Maqueda, C.","2013","http://www.sciencedirect.com/science/article/pii/S0169131712002773","54f6d302e13823054496b033"
"113","Impacts of maricultural activities on characteristics of dissolved organic carbon and nutrients in a typical raft-culture area of the Yellow Sea, North China","Zhang, Yongyu","2018","https://www.sciencedirect.com/science/article/pii/S0025326X18307616","5c2dac3a1faed655488b44a9"
"114","Graphical contents list","","2010","http://www.sciencedirect.com/science/article/pii/S0960894X10015027","59d73115cf58f1aa4a42702a"
"115","Author index volume 33","","1977","http://www.sciencedirect.com/science/article/pii/0012821X77900978","54cadf27e138236bcc929967"
"116","Magmatic arc tectonics in the Central Andes between 21° and 25°S","Scheuber, Ekkehard","1992","http://www.sciencedirect.com/science/article/pii/0040195192904223","54ed7c64e138237cc91522d1"
"117","Blausäure-N-methylid: Darstellung, spektroskopische Eigenschaften und seine Beziehung zu anderen C2H3N-Isomeren","Maier, Günther","1993","http://doi.wiley.com/10.1002/cber.19931261024","5996ebe4cf58f19e8fd0a429"
"118","Petrogenesis of Cretaceous igneous rocks from the Duolong porphyry Cu-Au deposit, central Tibet: evidence from zircon U-Pb geochronology, petrochemistry and Sr-Nd-Pb-Hf isotope characteristics","Li, Jin-Xiang","2016","http://doi.wiley.com/10.1002/gj.2631","57c2c56ecf58f1bbb9c9ec5d"
"119","Ar/Ar ages from transitionally magnetized lavas on La Palma, Canary Islands, and the geomagnetic instability timescale","Singer, B. S.","2002","http://doi.wiley.com/10.1029/2001JB001613","56dec373cf58f1a50eb58079"
"120","Depositional environments and cyclo- and chronostratigraphy of uppermost Carboniferous–Lower Triassic fluvial–lacustrine deposits, southern Bogda Mountains, NW China — A terrestrial paleoclimatic record of mid-latitude NE Pangea","Yang, Wan","2010","http://www.sciencedirect.com/science/article/pii/S0921818110000846","55c81abccf58f1a8110ba3b4"
"121","Love and Other Flights – Legal Subtexts and the Law as a Strategy of Reader Guidance in Bernhard Schlink's Liebesfluchten","Stürmer, Franziska","2016","http://www.tandfonline.com/doi/full/10.1080/1535685X.2015.1092782","59f56779cf58f185e763ae19"
"122","The Salazie Cirque ignimbrite (Piton des Neiges volcano, Réunion Island): Chronostratigraphy, description and significance of lithic fragments and eruptive mechanisms","Rocher, Philippe","1989","http://www.sciencedirect.com/science/article/pii/0377027389900127","5542529de1382326ef7a64a9"
"123","Goldschmidt Conference Abstracts 2005","","2005","http://www.sciencedirect.com/science/article/pii/S0016703705002723","55c2df6dcf58f1a8110b8bd5"
"124","Reconstructing cephalopod migration with statolith elemental signatures: a case study using Dosidicus gigas","Liu, Bi Lin","2016","http://link.springer.com/10.1007/s12562-016-0978-8","5897a7a2cf58f1b75b7a0dd2"
"125","Oxygen isotope constraints on metamorphic fluid flow, Townshend Dam, Vermont, U.S.A.","Kohn, Matthew J.","1994","http://www.sciencedirect.com/science/article/pii/0016703794902496","55bff46bcf58f16e99a371d2"
"126","Neoproterozoic accretionary tectonics along the northwestern margin of the Yangtze Block, China: Constraints from zircon U–Pb geochronology and geochemistry","Dong, Yunpeng","2012","http://www.sciencedirect.com/science/article/pii/S0301926811002671","54b43270e138239d86850ce0"
"127","Pyridine nucleotide transhydrogenases enable redox balance of Pseudomonas putida during biodegradation of aromatic compounds","Nikel, Pablo I.","2016","http://doi.wiley.com/10.1111/1462-2920.13434","583c70b1cf58f15e1b51ff9f"
"128","Petrology and geochemistry of alkali basalts and ultramafic inclusions from the palei-aike volcanic field in Southern Chile and the origin of the patagonian plateau lavas","Skewes, Milka Alexandra","1979","http://www.sciencedirect.com/science/article/pii/0377027379900441","5543062fe1382326ef7a6796"
"129","Subduction of a spreading ridge within the Bangong Co–Nujiang Tethys Ocean: Evidence from Early Cretaceous mafic dykes in the Duolong porphyry Cu–Au deposit, western Tibet","Xu, Wei","2015","","562cc75bcf58f10e5cb76ea6"
"130","Geological setting and paleomagnetism of the Eocene red beds of Laguna Brava Formation (Quebrada Santo Domingo, northwestern Argentina)","Vizán, H.","2013","http://www.sciencedirect.com/science/article/pii/S0040195112006907","54b96f5ae1382369e57e4cc2"
"131","Geochemistry and petrogenesis of volcanic rocks from Daimao Seamount (South China Sea) and their tectonic implications","Yan, Quanshu","2015","http://www.sciencedirect.com/science/article/pii/S0024493715000092","54c7e48fe13823b607fd3b0b"
"132","The Interatheriinae (Mammalia, Notoungulata) of the Friasian sensu stricto and Mayoan (middle to late Miocene), and the fossils from Cerro Zeballos, Patagonia, Argentina","Vera, Bárbara","","https://www.tandfonline.com/doi/full/10.1080/14772019.2018.1511387","5c394ab21faed655488c6a5c"
