BP,New Zealand
132500,15.78807263
132600,15.73457655
132700,15.68079096
132800,15.6248823
132900,15.56897363
133000,15.50903955
133100,15.44783427
133200,15.40710923
133300,15.39710452
133400,15.38553269
133500,15.33634988
133600,15.28716707
133700,15.25496368
133800,15.23075061
